IMF32, Get TaskSequences, Information, 12/04/2016 22:00:03
IMF32, Found 1 TaskSequences to work on, Information, 12/04/2016 22:00:03
IMF32, Get detailed info about the task sequences, Information, 12/04/2016 22:00:03
IMF32, REFWS2016-003 Ref Windows Server 2016 x64 Standard 1.0, Information, 12/04/2016 22:00:03
IMF32, Verify Connection to Hyper-V host, Information, 12/04/2016 22:00:03
IMF32, Upload boot image to Hyper-V host, Information, 12/04/2016 22:00:23
IMF32, Remove old WIM files in the capture folder, Information, 12/04/2016 22:00:24
IMF32, Create the VM's on Host, Information, 12/04/2016 22:00:24
IMF32, 0,,0, 3, 30, Information, 12/04/2016 22:09:08
IMF32, The script took Days:0 Hours:0 Minutes:5 to complete., Information, 12/04/2016 22:10:43
IMF32, The script took 0:Days 0:Hours 5:Minutes to complete., Information, 12/04/2016 22:11:35
IMF32, The script took 0:Days 0:Hours 6:Minutes to complete., Information, 12/04/2016 22:12:03
IMF32, The script took 0:Days 0:Hours 6:Minutes to complete., Information, 12/04/2016 22:12:08
IMF32, The script took 0:Days 0:Hours 6:Minutes to complete., Information, 12/04/2016 22:12:09
IMF32, The script took 0:Days 0:Hours 6:Minutes to complete., Information, 12/04/2016 22:12:10
IMF32, The script took 0:Days 0:Hours 6:Minutes to complete., Information, 12/04/2016 22:12:10
IMF32, The script took 0:Days 0:Hours 6:Minutes to complete., Information, 12/04/2016 22:12:11
IMF32, The script took 0:Days 0:Hours 6:Minutes to complete., Information, 12/04/2016 22:12:12
IMF32, The script took 0:Days 0:Hours 6:Minutes to complete., Information, 12/04/2016 22:12:12
IMF32, The script took 0:Days 0:Hours 6:Minutes to complete., Information, 12/04/2016 22:12:13
IMF32, The script took 0:Days 0:Hours 6:Minutes to complete., Information, 12/04/2016 22:12:14
IMF32, The script took 0:Days 0:Hours 6:Minutes to complete., Information, 12/04/2016 22:12:14
IMF32, Here are the wimfiles, Information, 12/04/2016 22:17:45
IMF32, Show the WIM's, Information, 12/04/2016 22:22:34
IMF32, Could not find D:\MDTBuildLab\Captures\REFWS2016-003.wim, something wnet wrong, Warning, 12/04/2016 22:22:34
IMF32, Imagefactory 3.2 (Hyper-V), Information, 12/04/2016 22:34:51
IMF32, Logfile is C:\Setup\ImageFactoryV3ForHyper-V\log.txt, Information, 12/04/2016 22:34:51
IMF32, XMLfile is C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/04/2016 22:34:51
IMF32, Importing modules, Information, 12/04/2016 22:34:51
IMF32, Reading from C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/04/2016 22:34:51
IMF32, Verify Connection to DeploymentRoot, Information, 12/04/2016 22:34:51
IMF32, Connect to MDT, Information, 12/04/2016 22:34:51
IMF32, Connected to D:\MDTBuildLab, Information, 12/04/2016 22:34:51
IMF32, Get MDT Settings, Information, 12/04/2016 22:34:51
IMF32, Check if we should update the boot image, Information, 12/04/2016 22:34:51
